RESPONSIBLE_COMPANY,RANK,TOTAL_INCIDENTS,WATER_CONTAMINATION,MATERIAL_TO_WATER,TOTAL_FATALITIES,TOTAL_INJURED,STATES_INVOLVED
TARGA RESOURCES,1,111,0,1,0,0,TX
KINDER MORGAN,2,108,0,21,0,4,TX|SC|CA|MN|XX|LA|VA|NV|AR|TN|FL
ENERGY TRANSFER,3,93,0,21,0,6,TX|PA|OK|LA|NJ
CSX RAILROAD,4,76,0,4,4,0,FL|XX
ENTERPRISE PRODUCTS,5,76,0,8,0,2,LA|TX
PHILLIPS 66,6,68,0,13,0,7,TX|LA|IL|NJ|OK|NM|WA
US NAVY,7,62,0,53,0,1,XX|FL|PA|CA|HI|VA|WA|LA|PR|CT
NORFOLK SOUTHERN,8,57,0,4,1,2,GA|IL|XX|VA
TALOS ENERGY,9,54,0,54,0,0,TX
CANTIUM LLC,10,53,0,52,0,0,LA
CHEVRON,11,47,0,25,0,1,UT|LA|FL|WA|TX|MS|OR|CO|GA|CA|XX
UNION PACIFIC RAILROAD,12,46,0,1,1,4,NE|IL|XX
ARENA OFFSHORE,13,38,0,38,0,0,TX
TEXAS PETROLEUM INVESTMENT COMPANY,14,38,0,32,0,0,LA|TX|XX
DOW CHEMICAL,15,36,0,4,0,0,TX|MI|LA|KY
BP,16,33,0,28,0,0,TX|IN|GA|WA|VA|IL|OH
EXXON MOBIL,17,32,0,7,0,0,WY|TX|MD
MANSON CONSTRUCTION,18,31,0,30,0,0,LA|XX|WA|CA|SC
KOCH FERTILIZER,19,31,0,0,0,0,KS|IA|NE|OK|LA|IN
WESTLAKE CHEMICAL,20,31,0,0,0,0,LA|WV
CYANCO,21,31,0,0,0,0,NV
WILLIAMS COMPANIES,22,31,0,2,0,0,OK|TX
WOODSIDE ENERGY,23,29,0,29,0,0,TX|LA
DUKE ENERGY,24,29,0,17,1,1,IN|FL|OH|NC|XX
MARATHON PETROLEUM,25,28,0,13,0,0,KY|AK|CA|XX|LA|TX|MI
WASTE MANAGEMENT,26,27,0,14,0,0,WA|PA|MA|TX|XX|MI|AZ
ENTERGY,27,26,0,15,0,0,LA|AR|TX
JR VINAGRO,28,26,0,16,0,0,XX|RI
SHELL,29,26,0,20,0,2,LA|PA|MD|CA|XX|TX|IL|KY
US NAVY - REGIONAL DISPATCH CENTER,30,26,0,18,0,0,VA
CF INDUSTRIES,31,26,0,0,0,0,IL|OK|LA|IA|MS
WEEKS MARINE,32,25,0,24,0,0,NJ|LA|XX|TX
UPS,33,25,0,2,0,2,XX|TX|IL|PA|MI|NC|GA|KY|AL|FL|MD|CA|SC
NORTHERN NATURAL GAS,34,25,0,0,0,0,NE|MN|XX
US NAVY -  NAVAL STATION MAYPORT,35,24,0,23,0,0,FL
CAPTURE POINT,36,24,0,1,0,0,OK|TX
ONEOK,37,23,0,3,0,0,OK|TX|NE|XX
TOTAL ENERGIES,38,23,0,2,0,0,TX|MA
REPUBLIC SERVICES,39,22,0,8,0,0,MN|WA|XX|KY|AZ|NJ|UT|PA|OH|TX|CA
AMERICAN ELECTRIC POWER,40,22,0,20,0,0,OK|OH|VA|TX|LA|IN
BNSF RAILWAY,41,22,0,5,0,0,TX|XX
BASF,42,22,0,3,0,0,MO|LA|TX
ENBRIDGE,43,21,0,3,0,0,TX|XX
FORMOSA PLASTICS,44,21,0,1,0,0,TX|LA
BUCKEYE PARTNERS,45,21,0,10,0,0,TX|MD|FL|PA|OH
ENTERGY ARKANSAS,46,21,0,9,0,0,AR
TEXAS PETROLEUM INVESTMENT CO.,47,20,0,19,0,0,LA
HILCORP,48,19,0,16,0,0,LA|AK|TX
PG&E,49,19,0,7,0,0,CA
W & T OFFSHORE,50,19,0,19,0,0,TX|XX
VALERO REFINERY,51,18,0,7,0,0,TX
WESTLAKE CHEMICALS,52,18,0,0,0,2,LA
ATMOS ENERGY,53,18,0,0,0,10,TX|MS|LA
ONCOR ELECTRIC DELIVERY,54,18,0,16,0,0,TX
HILCORP ENERGY,55,18,0,10,0,0,AK|LA|TX|WY
NAVAL BASE KITSAP BANGOR,56,17,0,16,0,0,WA
FLINT HILLS RESOURCES CORPUS CHRISTI,57,17,0,6,0,0,TX
SUNOCO,58,16,0,4,0,0,PA|KS|XX|FL|OR|VA|NJ|OH|TX|IL
CALLAN MARINE,59,16,0,13,0,0,TX
LEPRINO FOODS,60,16,0,0,0,0,CO|CA|NY
CALGARY ENERGY,61,16,0,9,0,0,OK|XX
GOLDEN GATE FERRY,62,16,0,16,0,0,CA
TC ENERGY,63,16,0,2,0,0,TX|WV|IL|MI|NE
WAYNE SANDERSON FARMS,64,16,0,2,0,0,MS
ANADARKO PETROLEUM,65,15,0,15,0,0,TX
CONSOLIDATED EDISON COMPANY OF NEW YORK,66,15,0,6,0,0,NY
EXXON MOBIL REFINERY,67,15,0,0,0,0,TX
BAE SYSTEMS,68,15,0,9,0,2,VA|PA|FL
TYSON FOODS,69,15,0,1,0,1,AL|KS|OK|NC|MS|TN|AR
US ARMY CORP OF ENGINEERS,70,15,0,15,0,0,IL|WA|OK|WV|MI|OR
TRAVEL CENTERS OF AMERICA,71,15,0,13,0,0,CO|ID|AR|LA|NM|SC|IN|OR|MI|VA|FL|OH|MD
NOAA,72,15,0,14,0,0,HI|OR|MA|MS|NH
FLINT HILLS RESOURCES,73,15,0,4,0,0,TX|MN
DAIRY FARMERS OF AMERICA,74,15,0,2,1,2,NM|MO|MA|IL|CT|PA|IA
CARGILL,75,15,0,6,0,0,CO|MO|OH|KS|NE|IA|KY
COLUMBIA GAS TRANSMISSION,76,15,0,2,0,0,WV|TX
METRA,77,14,0,0,0,0,IL
SUBSEA 7,78,14,0,13,0,0,TX|XX
DEEP OCEAN GROUP,79,13,0,13,0,0,TX
SOLAR TRANSPORT,80,13,0,2,0,0,IA
TARGA RESOURCES LLC.,81,13,0,0,0,5,TX
USCG,82,13,0,13,0,0,LA|FL|VA|XX|CA|MD|AL|WA|MI|GU|TX
ANADARKO PETROLEUM CORPORATION,83,13,0,13,0,0,TX
"FORMOSA PLASTICS CORPORATION, TEXAS",84,13,0,0,0,0,TX
SEPTA,85,13,0,0,0,1,PA
AMERICAN AIRLINES,86,12,0,5,0,0,TN|XX|NY|TX|HI
COLONIAL PIPELINE,87,12,0,0,0,0,GA|NC|TX|VA
BROOKFIELD RENEWABLE,88,12,0,12,0,0,PA|ME
CANAL BARGE COMPANY,89,12,0,6,0,0,XX|TX|LA
EVERSOURCE,90,12,0,12,0,0,CT|MA
W&T OFFSHORE,91,12,0,11,0,0,TX
HARVEST MIDSTREAM,92,12,0,2,0,0,TX
HOLLY ENERGY PARTNERS,93,12,0,0,0,0,TX
FIRST ENERGY OHIO EDISON,94,12,0,11,0,0,OH
OLIN CORP,95,12,0,0,0,0,TX
NATIONAL GRID,96,12,0,7,0,3,NY|MA|XX
SYSCO,97,12,0,6,0,1,XX|NC|LA|WA|TX|FL
WHITE FLEET OPERATING,98,12,0,12,0,0,TX
CITGO PETROLEUM,99,11,0,2,0,0,IL|TX
W AND T OFFSHORE,100,11,0,9,0,0,TX|XX
XCEL ENERGY,101,11,0,6,0,13,WI|CO|MN
TARGA GAS PROCESSING,102,11,0,0,0,0,TX
MARTINEZ REFINING COMPANY,103,11,0,1,0,1,CA
SMITHFIELD FOODS,104,11,0,0,0,2,IA|KS|VA|IL|OH
GENERAL MILLS,105,11,0,1,0,0,OH|IA|MO
INTERNATIONAL PAPER,106,11,0,2,0,0,NC|OK|GA
CONSUMERS ENERGY,107,11,0,7,0,3,MI
CLEAN HARBORS ENVIRONMENTAL,108,11,0,0,0,0,MA
CARMAX,109,11,0,10,0,0,VA|NE|NH|OH
CENTERPOINT ENERGY,110,11,0,5,2,3,MN|TX|IN|XX
ENI US OPERATING,111,11,0,11,0,0,TX
DT MIDSTREAM,112,11,0,0,0,0,PA|WV|MI
EQUISTAR CHEMICALS,113,11,0,0,0,0,TX|IA
GOM SHELF LLC,114,11,0,11,0,0,TX
RACETRACK,115,11,0,10,0,0,GA|FL|LA|KY
LSB CHEMICAL  LLC,116,11,0,1,0,0,AL
HUNTINGTON INGALLS INC,117,10,0,10,0,0,VA
DCP MIDSTREAM,118,10,0,0,0,3,OK|NM|TX
ARMY CORP OF ENGINEERS,119,10,0,10,0,0,MS|ID|OR|MI|IL|IA|VA
ASCEND PERFORMANCE MATERIALS,120,10,0,1,0,0,AL|TX|FL
CHEMOURS,121,10,0,0,0,7,NC|NJ|TX|MS
CLEAN HARBORS,122,10,0,3,0,0,MA|WA|TX|LA|CA
LANDSTAR,123,10,0,0,0,1,FL|XX
LLOG EXPLORATION COMPANY,124,10,0,10,0,0,LA
MOTIVA ENTERPRISES,125,10,0,1,0,0,TX
TORRANCE REFINERY,126,10,0,0,0,0,CA
UNITED AIRLINES,127,10,0,3,0,0,IL|AZ
TRANSOCEAN,128,10,0,10,0,0,TX
WESTERN MIDSTREAM,129,10,0,0,0,1,TX
WORLD FUEL SERVICES,130,10,0,5,0,0,OH|WA
