Rank,PWSID,System Name,State,City,Population Served,Service Connections,Missed Milestones,Total Milestones,Composite Score
1,NM3527305,EPCOR WATER NEW MEXICO INC  CLOVIS,NM,CLOVIS,41066,15917,129,132,54.73
2,NM3510701,ALBUQUERQUE WATER SYSTEM,NM,ALBUQUERQUE,560326,206795,99,105,45.69
3,CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA,LOS ANGELES,7751132,709623,4,9,43.56
4,NM3528522,PORTALES WATER SYSTEM,NM,PORTALES,14284,5431,95,151,39.77
5,MO4031631,RIDGE CREEK WATER COMPANY LLC,MO,SAINT ROBERT,450,131,81,88,35.76
6,MP0000001,Commonwealth Utilities Corp (Saipan),MP,Saipan,48524,11317,74,114,31.97
7,MO4061660,CLUBB VILLA SENIOR LIVING,MO,DEFIANCE,110,86,67,76,30.17
8,NM3531904,VILLAGE OF ANGEL FIRE,NM,ANGEL FIRE,6045,1875,67,79,30.04
9,LA1055067,LAKEVIEW TRAILER PARK WATER SYSTEM,LA,MILTON,30,10,59,105,25.51
10,NM3511707,LAS CRUCES MUNICIPAL WATER SYSTEM,NM,LAS CRUCES,98175,40401,52,55,25.2
11,LA1079001,CITY OF ALEXANDRIA WATER SYSTEM,LA,ALEXANDRIA,66798,22266,55,91,24.52
12,WV3303516,WHEELING,WV,WHEELING,29899,13185,52,67,24.02
13,NE3108701,"STRATTON, VILLAGE OF",NE,STRATTON,310,211,53,75,23.91
14,CT0930011,REGIONAL WATER AUTHORITY,CT,NEW HAVEN,418900,115707,45,54,23.61
15,UTAH18026,SALT LAKE CITY WATER SYSTEM,UT,SALT LAKE CITY,381174,86503,45,57,23.2
16,ID2290038,SYRINGA MOBILE HOME PARK,ID,COEUR D ALENE,0,196,47,59,22.04
17,LA1055017,LAFAYETTE UTILITIES WATER SYSTEM,LA,LAFAYETTE,169389,56463,42,47,21.45
18,NM3510524,MORNINGSTAR WATER SYSTEM,NM,ELEPHANT BUTTE,5694,1950,48,81,21.45
19,NM3567905,CANNON AIR FORCE BASE WATER SYSTEM,NM,CANNON AFB,7832,1123,42,42,21.14
20,090400226,Greater Santa Rosa Regional,AZ,Sells,1352,294,44,52,21.13
21,NE3111106,"NORTH PLATTE, CITY OF",NE,NORTH PLATTE,25000,12000,44,56,20.96
22,NM3509623,RIO RANCHO WATER & WW SERVICES,NM,RIO RANCHO,107350,37760,40,41,20.76
23,NE3120293,"MAXWELL, VILLAGE OF",NE,MAXWELL,315,137,43,54,20.5
24,NM3505226,SUNLIT HILLS WATER SYSTEM,NM,PECOS,1018,433,42,57,19.82
25,NV0000065,GARDNERVILLE WATER COMPANY,NV,GARDNERVILLE,5800,2439,39,42,19.62
26,RI1592023,PRUDENCE ISLAND WATER DISTRICT,RI,PRUDENCE ISLAND,1500,328,42,61,19.59
27,LA1019029,CITY OF LAKE CHARLES WATER SYSTEM,LA,LAKE CHARLES,79500,34273,39,49,19.36
28,LA1041003,NORTH FRANKLIN WATER WORKS,LA,CROWVILLE,7989,2663,41,58,19.33
29,LA1011008,BEAUREGARD WATER WORKS DIST #3,LA,LONGVILLE,24000,8000,40,58,18.94
30,UTAH18027,JORDAN VALLEY WCD,UT,WEST JORDAN,99335,8813,37,46,18.73
31,UTAH29008,LIBERTY PIPELINE COMPANY,UT,EDEN,1750,577,38,46,18.71
32,NM3520308,ARTESIA MUNICIPAL WATER SYSTEM,NM,ARTESIA,15176,5600,39,55,18.6
33,LA1079016,CITY OF PINEVILLE WATER SYSTEM,LA,PINEVILLE,20358,6786,40,69,18.38
34,LA1039005,TOWN OF MAMOU WATER SYSTEM,LA,MAMOU,4559,1660,37,46,18.24
35,MO3031358,MORGAN COUNTY PWSD # 2,MO,STOVER,1298,519,36,42,18.09
36,UTAH02011,TREMONTON CITY,UT,TREMONTON,13000,3485,35,39,17.96
37,LA1073047,"SOUTHWEST OUACHITA WATERWORKS, INC",LA,WEST MONROE,10725,3575,37,51,17.89
38,NM3520203,ROSWELL MUNICIPAL WATER SYSTEM,NM,ROSWELL,54025,20084,33,35,17.61
39,UTAH06001,CENTERVILLE CITY WATER SYSTEM,UT,CLINTON,17155,5267,36,49,17.58
40,LA1019044,SULPHUR CITY OF WATER SYSTEM,LA,SULPHUR,24489,8163,38,67,17.57
41,NE3113504,"ELSIE, VILLAGE OF",NE,ELSIE,102,94,36,48,17.56
42,TX1010013,CITY OF HOUSTON,TX,HOUSTON,2970543,990181,1,2,17.4
43,MO5010730,SELIGMAN PWS,MO,SELLIGMAN,890,667,33,35,17.33
44,NE3106503,"EDISON, VILLAGE OF",NE,EDISON,111,114,35,48,17.08
45,UTAH18021,TAYLORSVILLE-BENNION ID,UT,RIVERTON,67098,17491,31,32,17.02
46,NM3513519,CLOUDCROFT WATER SYSTEM,NM,CLOUDCROFT,2865,1082,35,50,16.95
47,LA1017052,WATERWORKS DISTRICT 7,LA,KEITHVILLE,5817,1939,34,47,16.69
48,NM3509032,MONTEREY WATER COMPANY INC.,NM,ELEPHANT BUTTE,1472,520,31,32,16.68
49,RI1000040,"RICHMOND, TOWN OF",RI,WYOMING,2671,306,36,64,16.66
50,UTAH06009,SOUTH DAVIS WATER DISTRICT,UT,BOUNTIFUL,10565,3241,33,44,16.46
51,NE3109901,"WILCOX, VILLAGE OF",NE,WILCOX,360,172,34,51,16.39
52,LA1033019,PARISH WATER COMPANY,LA,BATON ROUGE,166611,55537,29,33,16.33
53,NE3118702,"GRESHAM, VILLAGE OF",NE,GRESHAM,221,120,33,45,16.32
54,NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,OMAHA,660000,220882,22,24,16.32
55,LA1015011,TOWN OF HAUGHTON WATER SYSTEM,LA,HAUGHTON,5355,1785,33,46,16.27
56,NM3508317,GALLUP WATER SYSTEM,NM,GALLUP,20880,6000,32,43,16.09
57,TX0150018,SAN ANTONIO WATER SYSTEM,TX,SAN ANTONIO,2113151,763868,6,10,15.97
58,LA1019084,CALCASIEU PARISH WW DISTRICT NO 5,LA,LAKE CHARLES,5388,1796,31,40,15.78
59,NE3113903,"OSMOND, CITY OF",NE,OSMOND,870,408,30,35,15.76
60,LA1019123,GULF STREAM MANOR WATER SYSTEM,LA,LAKE CHARLES,2130,710,33,54,15.74
61,LA1119027,SIBLEY WATER SYSTEM,LA,SIBLEY,2373,791,33,55,15.69
62,NM3500326,"EPCOR WATER NEW MEXICO INC., EDGEWOOD",NM,EDGEWOOD,6795,2000,29,32,15.63
63,NE3110909,LANCASTER CO RWD 1,NE,BENNET,6000,1681,29,33,15.5
64,NE3106506,"ARAPAHOE, CITY OF",NE,ARAPAHOE,1026,670,28,29,15.5
65,LA1111020,TRI-WATER SYSTEM,LA,FARMERVILLE,1302,434,30,39,15.34
66,063500006,Jicarilla Dulce,NM,Dulce,3064,1118,33,63,15.32
67,IL0316000,CHICAGO,IL,CHICAGO,2746388,484979,1,6,15.28
68,LA1085036,SABINE PARISH WATER DISTRICT 1,LA,MANY,6924,2308,29,35,15.26
69,NM3505126,SANTA FE WATER SYSTEM (CITY OF),NM,SANTA FE,90810,33297,26,27,15.17
70,NM3528020,TUCUMCARI WATER SYSTEM,NM,TUCUMCARI,6064,2660,31,48,15.15
71,LA1067003,BASTROP WATER SYSTEM,LA,BASTROP,18105,6035,28,33,15.03
72,LA1063004,CITY OF DENHAM SPRINGS WATER SYSTEM,LA,DENHAM SPRINGS,25725,8124,29,39,14.95
73,090600226,Big River Development,AZ,Parker,3550,905,28,33,14.95
74,MA4296000,TISBURY WATER WORKS,MA,TISBURY,6082,2815,28,34,14.85
75,090400042,Sells Intertie,AZ,Sells,4000,776,29,39,14.84
76,NM3552903,BERRENDO COOPERATIVE WUA,NM,ROSWELL,4304,1600,27,30,14.81
77,NE3120042,"HOLBROOK, VILLAGE OF",NE,HOLBROOK,201,125,29,40,14.73
78,NE3104701,"COZAD, CITY OF",NE,COZAD,3915,1683,26,27,14.72
79,ID2290041,TROY CITY OF,ID,TROY,850,411,28,35,14.71
80,NE3118104,"WAYNE, CITY OF",NE,WAYNE,5990,2025,26,28,14.57
81,NM3572007,MOONGATE WATER SYSTEM,NM,ORGAN,9170,3500,31,60,14.54
82,NE3104508,PINE RIDGE JOB CORPS,NE,CHADRON,250,19,26,28,14.54
83,NM3526920,LOGAN WATER SYSTEM,NM,LOGAN,2321,1018,27,32,14.54
84,090400693,WMATUA Miner Flat,AZ,Whiteriver,15570,2570,31,62,14.49
85,MO3010684,RICHLAND PWS,MO,RICHLAND,1863,875,26,29,14.39
86,NE3106710,"WYMORE, CITY OF",NE,WYMORE,1656,691,26,29,14.39
87,MO5010351,HARTVILLE PWS,MO,HARTVILLE,655,262,26,29,14.39
88,LA1045009,NEW IBERIA WATER SYSTEM (LAWCO),LA,BATON ROUGE,59928,19976,25,28,14.29
89,NM3500113,MORWEST CORPORATION,NM,ARTESIA,0,2,24,24,14.09
90,NE3103306,"GURLEY, VILLAGE OF",NE,GURLEY,228,121,28,42,14.06
91,LA1097025,VILLAGE OF CANKTON WATER SYSTEM,LA,CANKTON,2730,910,26,32,14
92,NM3524030,ESTANCIA WATER SYSTEM,NM,ESTANCIA,1355,500,28,43,14
93,MO6010200,CUBA PWS,MO,CUBA,3292,1645,25,28,13.99
94,LA1061017,RUSTON WATER SYSTEM,LA,RUSTON,22468,8391,28,45,13.96
95,NE3115708,"MORRILL, VILLAGE OF",NE,MORRILL,934,501,24,25,13.91
96,CO0119786,UPPER EAGLE REGIONAL WA,CO,VAIL,32831,6752,24,26,13.9
97,LA1011001,CITY OF DERIDDER WATER SYSTEM,LA,DERIDDER,14400,4800,27,39,13.87
98,MA4036001,BUZZARDS BAY WATER DISTRICT,MA,BOURNE,7700,2582,25,29,13.87
99,WI8040129,DRUMMOND SANITARY DISTRICT,WI,DRUMMOND,500,185,25,29,13.83
100,WI8040126,BAYFIELD WATERWORKS,WI,BAYFIELD,488,180,25,29,13.83
